ID	Gene Name	Species
AP4B1-AS1	AP4B1 antisense RNA 1(AP4B1-AS1)	Homo sapiens	
ARHGAP5-AS1	ARHGAP5 antisense RNA 1 (head to head)(ARHGAP5-AS1)	Homo sapiens	
ARHGEF38-IT1	ARHGEF38 intronic transcript 1(ARHGEF38-IT1)	Homo sapiens	
ARMC2-AS1	ARMC2 antisense RNA 1(ARMC2-AS1)	Homo sapiens	
ARRDC3-AS1	ARRDC3 antisense RNA 1(ARRDC3-AS1)	Homo sapiens	
ASAP1-IT2	ASAP1 intronic transcript 2(ASAP1-IT2)	Homo sapiens	
BACH1-IT2	BACH1 intronic transcript 2(BACH1-IT2)	Homo sapiens	
BDNF-AS	BDNF antisense RNA(BDNF-AS)	Homo sapiens	
BANCR	BRAF-activated non-protein coding RNA(BANCR)	Homo sapiens	
C10orf71-AS1	C10orf71 antisense RNA 1(C10orf71-AS1)	Homo sapiens	
CCL15-CCL14	CCL15-CCL14 readthrough (NMD candidate)(CCL15-CCL14)	Homo sapiens	
CHODL-AS1	CHODL antisense RNA 1(CHODL-AS1)	Homo sapiens	
CHRM3-AS1	CHRM3 antisense RNA 1(CHRM3-AS1)	Homo sapiens	
COL4A2-AS1	COL4A2 antisense RNA 1(COL4A2-AS1)	Homo sapiens	
CPEB2-AS1	CPEB2 antisense RNA 1 (head to head)(CPEB2-AS1)	Homo sapiens	
CTAGE11P	CTAGE family member 11, pseudogene(CTAGE11P)	Homo sapiens	
DDX11-AS1	DDX11 antisense RNA 1(DDX11-AS1)	Homo sapiens	
LOC646813	DEAH-box helicase 9 pseudogene(LOC646813)	Homo sapiens	
DIAPH3-AS1	DIAPH3 antisense RNA 1(DIAPH3-AS1)	Homo sapiens	
DIAPH3-AS2	DIAPH3 antisense RNA 2(DIAPH3-AS2)	Homo sapiens	
DISC1FP1	DISC1 fusion partner 1 (non-protein coding)(DISC1FP1)	Homo sapiens	
DLGAP1-AS5	DLGAP1 antisense RNA 5(DLGAP1-AS5)	Homo sapiens	
DLX6-AS1	DLX6 antisense RNA 1(DLX6-AS1)	Homo sapiens	
DYX1C1-CCPG1	DYX1C1-CCPG1 readthrough (NMD candidate)(DYX1C1-CCPG1)	Homo sapiens	
EEF1E1-BLOC1S5	EEF1E1-BLOC1S5 readthrough (NMD candidate)(EEF1E1-BLOC1S5)	Homo sapiens	
EGFLAM-AS2	EGFLAM antisense RNA 2(EGFLAM-AS2)	Homo sapiens	
EGFLAM-AS4	EGFLAM antisense RNA 4(EGFLAM-AS4)	Homo sapiens	
ENTPD1-AS1	ENTPD1 antisense RNA 1(ENTPD1-AS1)	Homo sapiens	
FBXO33	F-box protein 33(FBXO33)	Homo sapiens	
F11-AS1	F11 antisense RNA 1(F11-AS1)	Homo sapiens	
FGF14-IT1	FGF14 intronic transcript 1(FGF14-IT1)	Homo sapiens	
FKSG29	FKSG29(FKSG29)	Homo sapiens	
FTO-IT1	FTO intronic transcript 1(FTO-IT1)	Homo sapiens	
FUNDC2P2	FUN14 domain containing 2 pseudogene 2(FUNDC2P2)	Homo sapiens	
GNG12-AS1	GNG12 antisense RNA 1(GNG12-AS1)	Homo sapiens	
GPC6-AS1	GPC6 antisense RNA 1(GPC6-AS1)	Homo sapiens	
GPC6-AS2	GPC6 antisense RNA 2(GPC6-AS2)	Homo sapiens	
GRM5-AS1	GRM5 antisense RNA 1(GRM5-AS1)	Homo sapiens	
HIF1A-AS1	HIF1A antisense RNA 1(HIF1A-AS1)	Homo sapiens	
HCG14	HLA complex group 14 (non-protein coding)(HCG14)	Homo sapiens	
HPYR1	Helicobacter pylori responsive 1 (non-protein coding)(HPYR1)	Homo sapiens	
IDH1-AS1	IDH1 antisense RNA 1(IDH1-AS1)	Homo sapiens	
IFNG-AS1	IFNG antisense RNA 1(IFNG-AS1)	Homo sapiens	
IGSF11-AS1	IGSF11 antisense RNA 1(IGSF11-AS1)	Homo sapiens	
IL21-AS1	IL21 antisense RNA 1(IL21-AS1)	Homo sapiens	
ISM1-AS1	ISM1 antisense RNA 1(ISM1-AS1)	Homo sapiens	
ISPD-AS1	ISPD antisense RNA 1(ISPD-AS1)	Homo sapiens	
ITPR1-AS1	ITPR1 antisense RNA 1 (head to head)(ITPR1-AS1)	Homo sapiens	
JRKL-AS1	JRKL antisense RNA 1(JRKL-AS1)	Homo sapiens	
KCNAB1-AS1	KCNAB1 antisense RNA 1(KCNAB1-AS1)	Homo sapiens	
KCNIP4-IT1	KCNIP4 intronic transcript 1(KCNIP4-IT1)	Homo sapiens	
KIRREL3-AS3	KIRREL3 antisense RNA 3(KIRREL3-AS3)	Homo sapiens	
LOC100422556	LEO1 homolog, Paf1/RNA polymerase II complex component pseudogene(LOC100422556)	Homo sapiens	
LIFR-AS1	LIFR antisense RNA 1(LIFR-AS1)	Homo sapiens	
LPP-AS2	LPP antisense RNA 2(LPP-AS2)	Homo sapiens	
LY86-AS1	LY86 antisense RNA 1(LY86-AS1)	Homo sapiens	
MACROD2-AS1	MACROD2 antisense RNA 1(MACROD2-AS1)	Homo sapiens	
MACROD2-IT1	MACROD2 intronic transcript 1(MACROD2-IT1)	Homo sapiens	
MAMDC2-AS1	MAMDC2 antisense RNA 1(MAMDC2-AS1)	Homo sapiens	
MCHR2-AS1	MCHR2 antisense RNA 1(MCHR2-AS1)	Homo sapiens	
MIMT1	MER1 repeat containing imprinted transcript 1 (non-protein coding)(MIMT1)	Homo sapiens	
MIR31HG	MIR31 host gene(MIR31HG)	Homo sapiens	
MIR4500HG	MIR4500 host gene(MIR4500HG)	Homo sapiens	
MIR600HG	MIR600 host gene(MIR600HG)	Homo sapiens	
MRVI1-AS1	MRVI1 antisense RNA 1(MRVI1-AS1)	Homo sapiens	
LOC93622	Morf4 family associated protein 1 like 1 pseudogene(LOC93622)	Homo sapiens	
N4BP2L2-IT2	N4BPL2 intronic transcript 2(N4BP2L2-IT2)	Homo sapiens	
NAALADL2-AS3	NAALADL2 antisense RNA 3(NAALADL2-AS3)	Homo sapiens	
NALCN-AS1	NALCN antisense RNA 1(NALCN-AS1)	Homo sapiens	
NAV2-AS4	NAV2 antisense RNA 4(NAV2-AS4)	Homo sapiens	
NAV2-AS5	NAV2 antisense RNA 5(NAV2-AS5)	Homo sapiens	
NEGR1-IT1	NEGR1 intronic transcript 1(NEGR1-IT1)	Homo sapiens	
NFYC-AS1	NFYC antisense RNA 1(NFYC-AS1)	Homo sapiens	
NKX2-1-AS1	NKX2-1 antisense RNA 1(NKX2-1-AS1)	Homo sapiens	
NNT-AS1	NNT antisense RNA 1(NNT-AS1)	Homo sapiens	
NPSR1-AS1	NPSR1 antisense RNA 1(NPSR1-AS1)	Homo sapiens	
NR2F1-AS1	NR2F1 antisense RNA 1(NR2F1-AS1)	Homo sapiens	
NR2F2-AS1	NR2F2 antisense RNA 1(NR2F2-AS1)	Homo sapiens	
NREP-AS1	NREP antisense RNA 1(NREP-AS1)	Homo sapiens	
NRG1-IT1	NRG1 intronic transcript 1(NRG1-IT1)	Homo sapiens	
NRG1-IT3	NRG1 intronic transcript 3(NRG1-IT3)	Homo sapiens	
NTRK3-AS1	NTRK3 antisense RNA 1(NTRK3-AS1)	Homo sapiens	
OXCT1-AS1	OXCT1 antisense RNA 1(OXCT1-AS1)	Homo sapiens	
PCDH9-AS2	PCDH9 antisense RNA 2(PCDH9-AS2)	Homo sapiens	
PCDH9-AS4	PCDH9 antisense RNA 4(PCDH9-AS4)	Homo sapiens	
PCGEM1	PCGEM1, prostate-specific transcript (non-protein coding)(PCGEM1)	Homo sapiens	
PDCD4-AS1	PDCD4 antisense RNA 1(PDCD4-AS1)	Homo sapiens	
PITRM1-AS1	PITRM1 antisense RNA 1(PITRM1-AS1)	Homo sapiens	
POM121L2	POM121 transmembrane nucleoporin like 2(POM121L2)	Homo sapiens	
POU5F2	POU domain class 5, transcription factor 2(POU5F2)	Homo sapiens	
PPP2R2B-IT1	PPP2R2B intronic transcript 1(PPP2R2B-IT1)	Homo sapiens	
PRH1-PRR4	PRH1-PRR4 readthrough(PRH1-PRR4)	Homo sapiens	
PRICKLE2-AS3	PRICKLE2 antisense RNA 3(PRICKLE2-AS3)	Homo sapiens	
PSMD6-AS2	PSMD6 antisense RNA 2(PSMD6-AS2)	Homo sapiens	
PTGER4P2-CDK2AP2P2	PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene(PTGER4P2-CDK2AP2P2)	Homo sapiens	
PTPRG-AS1	PTPRG antisense RNA 1(PTPRG-AS1)	Homo sapiens	
PWRN1	Prader-Willi region non-protein coding RNA 1(PWRN1)	Homo sapiens	
PVT1	Pvt1 oncogene (non-protein coding)(PVT1)	Homo sapiens	
RBMS3-AS3	RBMS3 antisense RNA 3(RBMS3-AS3)	Homo sapiens	
RNY5	RNA, Ro-associated Y5(RNY5)	Homo sapiens	
RNU5D-1	RNA, U5D small nuclear 1(RNU5D-1)	Homo sapiens	
RNU5E-1	RNA, U5E small nuclear 1(RNU5E-1)	Homo sapiens	
RNU6-19P	RNA, U6 small nuclear 19, pseudogene(RNU6-19P)	Homo sapiens	
RNU6-53P	RNA, U6 small nuclear 53, pseudogene(RNU6-53P)	Homo sapiens	
RNU6-67P	RNA, U6 small nuclear 67, pseudogene(RNU6-67P)	Homo sapiens	
RNU6-71P	RNA, U6 small nuclear 71, pseudogene(RNU6-71P)	Homo sapiens	
RNU6-72P	RNA, U6 small nuclear 72, pseudogene(RNU6-72P)	Homo sapiens	
ROPN1L-AS1	ROPN1L antisense RNA 1(ROPN1L-AS1)	Homo sapiens	
RSU1P2	Ras suppressor protein 1 pseudogene 2(RSU1P2)	Homo sapiens	
SAMD12-AS1	SAMD12 antisense RNA 1(SAMD12-AS1)	Homo sapiens	
SBF2-AS1	SBF2 antisense RNA 1(SBF2-AS1)	Homo sapiens	
SEC24B-AS1	SEC24B antisense RNA 1(SEC24B-AS1)	Homo sapiens	
SLC7A11-AS1	SLC7A11 antisense RNA 1(SLC7A11-AS1)	Homo sapiens	
SRGAP2D	SLIT-ROBO Rho GTPase activating protein 2D (pseudogene)(SRGAP2D)	Homo sapiens	
SOX21-AS1	SOX21 antisense RNA 1 (head to head)(SOX21-AS1)	Homo sapiens	
SPATA8-AS1	SPATA8 antisense RNA 1 (head to head)(SPATA8-AS1)	Homo sapiens	
ST7-AS2	ST7 antisense RNA 2(ST7-AS2)	Homo sapiens	
STK4-AS1	STK4 antisense RNA 1 (head to head)(STK4-AS1)	Homo sapiens	
STPG2-AS1	STPG2 antisense RNA 1(STPG2-AS1)	Homo sapiens	
STX18-AS1	STX18 antisense RNA 1 (head to head)(STX18-AS1)	Homo sapiens	
SCHLAP1	SWI/SNF complex antagonist associated with prostate cancer 1 (non-protein coding)(SCHLAP1)	Homo sapiens	
SYNPR-AS1	SYNPR antisense RNA 1(SYNPR-AS1)	Homo sapiens	
TEX26-AS1	TEX26 antisense RNA 1(TEX26-AS1)	Homo sapiens	
TMEM161B-AS1	TMEM161B antisense RNA 1(TMEM161B-AS1)	Homo sapiens	
TMEM72-AS1	TMEM72 antisense RNA 1(TMEM72-AS1)	Homo sapiens	
TNFAIP8L2	TNF alpha induced protein 8 like 2(TNFAIP8L2)	Homo sapiens	
TRAF3IP2-AS1	TRAF3IP2 antisense RNA 1(TRAF3IP2-AS1)	Homo sapiens	
TRHDE-AS1	TRHDE antisense RNA 1(TRHDE-AS1)	Homo sapiens	
TRPC5OS	TRPC5 opposite strand(TRPC5OS)	Homo sapiens	
TSNAX-DISC1	TSNAX-DISC1 readthrough (NMD candidate)(TSNAX-DISC1)	Homo sapiens	
TTN-AS1	TTN antisense RNA 1(TTN-AS1)	Homo sapiens	
LOC729159	UPF0607 protein ENSP00000381418-like(LOC729159)	Homo sapiens	
VAV3-AS1	VAV3 antisense RNA 1(VAV3-AS1)	Homo sapiens	
VWC2L-IT1	VWC2L intronic transcript 1(VWC2L-IT1)	Homo sapiens	
XIRP2-AS1	XIRP2 antisense RNA 1(XIRP2-AS1)	Homo sapiens	
ZBED3-AS1	ZBED3 antisense RNA 1(ZBED3-AS1)	Homo sapiens	
