,NonHiC_Allbin,HiCAll_Allbin,1_HiCAll,2_HiCAll,3_HiCAll,4_HiCAll,5_HiCAll,6_HiCAll,7_HiCAll,8_HiCAll,9_HiCAll,10_HiCAll,11_HiCAll,12_HiCAll,13_HiCAll,14_HiCAll,15_HiCAll,16_HiCAll,17_HiCAll,18_HiCAll,19_HiCAll,20_HiCAll,21_HiCAll,21_1,1_21
Co,0.0680602755604731,0.931939724439527,0.970968608217552,0.993116705064239,0.993512459187856,0.992212124210259,0.98955491795169,0.987053186527399,0.98476346624076,0.98115927690068,0.9775550875606,0.97272123362214,0.9660075475965,0.956438778250484,0.944537886390298,0.927421520543879,0.9034218597617,0.864213933371967,0.806801317295869,0.718717756639482,0.585348616980679,0.402976636372631,0.184435555681192,0.181929341892659,0.957774542110506
Hi,0.0679285544930056,0.932071445506994,0.977374542473962,0.99416345161883,0.993739489266686,0.992029507779709,0.98983903562697,0.987365921906135,0.985034128969347,0.98148697728975,0.977869165218129,0.972640296208363,0.966294993004621,0.957844010118568,0.946269837905061,0.929085230564859,0.904721527395034,0.865646330605842,0.810078998318283,0.72079252695694,0.586509517954806,0.403484970534617,0.184409491103857,0.182330827067669,0.966357575293126
Lu,0.0693247978081614,0.930675202191839,0.90085627344137,0.971438680914302,0.985775953577242,0.986639303658623,0.9851249026962,0.982421626211875,0.97833132828533,0.971919892435072,0.965182931144293,0.955516240888826,0.945071120232114,0.928327789965325,0.91059373009695,0.882669308612271,0.849961078479938,0.803481706885571,0.737428349019885,0.647654093836247,0.524789469959663,0.369683674191494,0.184686151015498,0.180298507462687,0.879454364319105
LV,0.0673489817961485,0.932651018203852,0.986865334369042,0.996412682720147,0.995141586046183,0.99295247510769,0.991074076689499,0.9887013628981,0.986130922957418,0.983221523903679,0.980283878257185,0.97519949156133,0.96987500882706,0.961881223077466,0.950978038274133,0.934185438881435,0.911333945342843,0.874952333874726,0.819052326813078,0.730117929524751,0.59440717463456,0.407683073229292,0.18429489442836,0.182769230769231,0.978695685493141
RV,0.0674938749703628,0.932506125029637,0.984744469870328,0.995931858632087,0.994943074271831,0.993106760459926,0.991242195666299,0.988699607311354,0.986072266011244,0.982710399186372,0.979320281379778,0.974969630194649,0.969022798542249,0.960392123626296,0.949854507444134,0.932819165466,0.909639234963415,0.872870582252733,0.816622877644998,0.728267932310648,0.59307285928186,0.406715258355228,0.184323530242676,0.182588863069111,0.975477048049659
Ao,0.0669933349139861,0.933006665086014,0.995679918680822,0.997204653264061,0.995454032075898,0.993406934718771,0.991543370228145,0.989185678789248,0.986644454483849,0.983919697311949,0.980799638581432,0.976564264739101,0.971481816128304,0.96397108651457,0.954173255025977,0.938248249378812,0.915419584368647,0.879334199231986,0.824062570589564,0.734427942173029,0.597131240117461,0.408614750395302,0.184224644228597,0.183606045997221,0.992336577515518
PM,0.0686266761505835,0.931373323849417,0.933982010522147,0.98397635345364,0.990397126209198,0.990057702098772,0.987780732024665,0.984711772359563,0.981204389885161,0.976650449736946,0.970894382530972,0.964360468405272,0.955295016122645,0.943613169655484,0.927363240368841,0.90588052271313,0.877057758669457,0.834078180686768,0.774495106635741,0.686810544775697,0.559484075352152,0.389376025343667,0.184547717372857,0.18007268322229,0.911334201854548
Pa,0.0683500619089017,0.931649938091098,0.964314496175543,0.990795854599952,0.992803517651883,0.991601747515164,0.989678915296413,0.986992605579041,0.984490096000226,0.981195831978396,0.976954290319388,0.972005825050545,0.965162804507345,0.955958659107297,0.942922987741945,0.924217789025718,0.89811816935062,0.857130738452403,0.798512632724908,0.70949681177452,0.575817557154774,0.397729361365211,0.184492923694666,0.181482296019353,0.948578435129129
Sp,0.0678100055322848,0.932189994467715,0.968037303942348,0.991550091846828,0.992864207997739,0.991875088314257,0.989529461636287,0.987565352550516,0.984555602656493,0.981121944326692,0.97746220149781,0.971880740426734,0.964391691394659,0.955136357213509,0.941839762611276,0.920941076727427,0.893259855871132,0.851434223541048,0.790052282040413,0.698756535255052,0.565804719513918,0.392016391126183,0.184386039282182,0.18145326093303,0.952640049045904
Li,0.0667035485655576,0.933296451434442,0.99760070003105,0.997487791797217,0.995455443588224,0.993648911846896,0.991517768933299,0.989711237191972,0.987156688401502,0.98446100431874,0.981497163180625,0.977799418522596,0.972506845061676,0.96556298868095,0.955570609986733,0.939904592542411,0.917464081068112,0.881559262709233,0.825937844017275,0.73630281988314,0.598427752843876,0.408911282355266,0.184167442910774,0.183874709976798,0.99601502030807
